lang;group;day;time;room;lesson;teacher;format
ru;P3111;wetnesday;11:40-13:10;372 ауд.;Программирование (лаб);Исаев Илья Владимирович;Очно-дистанционный
ru;P3111;wetnesday;13:30-15:00;372 ауд.;Программирование (лаб);Исаев Илья Владимирович;Очно-дистанционный
